City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
659,Wukari,NG,76.6,light rain,7.85,9.7833,Elimtop
660,Ambilobe,MG,71.94,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
661,Morondava,MG,69.8,clear sky,-20.2833,44.2833,La Case Bambou
666,Gombong,ID,80.22,broken clouds,-7.6072,109.5142,Grafika Hotel Dan Restoran
678,Manono,CD,66.54,broken clouds,-7.3,27.4167,Hotel hewa bora
680,Khuldabad,IN,81.12,overcast clouds,20.05,75.1833,Capital O 29643 Etranger Resort
681,Balkanabat,TM,67.3,broken clouds,39.5108,54.3671,Nebitchi Hotel
685,Nizwa,OM,80.2,clear sky,22.9333,57.5333,Orient Apartments
691,Bambanglipuro,ID,80.42,broken clouds,-7.95,110.2833,Puri Brata
692,Moanda,GA,70.7,overcast clouds,-1.5575,13.2178,Heliconia Stadium Moanda
693,Sibolga,ID,78.39,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
696,Cururupu,BR,74.23,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
701,Shimoda,JP,66.11,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
